Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
83,82,Paris — Wikipédia,https://fr.wikipedia.org/wiki/Paris,https://www.meilleursagents.com/prix-immobilier/paris-18eme-arrondissement-75018/,« Prix immobilier Paris 18ème arrondissement (75018) »,354,5379,true,true,false,false,false,false,2018-05-23,2018-12-23,false,false
81,83,Prix immobilier 2018 : évolution et estimation,https://www.journaldunet.fr/patrimoine/guide-de-l-immobilier/1110050-prix-immobilier/,http://www.meilleursagents.com/,MeilleursAgents.com,170,78,false,true,false,false,false,false,2018-04-24,2018-07-25,false,true
81,76,Agence immobilière Corse à Ajaccio. MAX IMMOBILIER vente et location,https://www.maximmobilier.fr/,https://www.meilleursagents.com/agence-immobiliere/agence-max-immobilier-34353/,Meilleurs Agents,23,51,false,true,false,false,false,false,2017-09-22,2018-12-26,false,false
80,63,Logiciel Immobilier pas comme les autres - Hektor - La Boite Immo,https://www.la-boite-immo.com/logiciel-immobilier.html,http://www.meilleursagents.com/,meilleursagents,38,155,false,true,false,false,false,false,2018-05-25,2018-12-25,false,false
80,79,Agence immobilière Lyon - Novolia Immobilier,http://www.novolia-immobilier.com/,http://www.meilleursagents.com/agence-immobiliere/agence-novolia-immobilier-26376/,"Meilleur Agent 4,8 1 2 3 4 5 (102 avis)",7,48,true,true,false,false,false,false,2016-10-21,2018-12-24,false,false
80,81,Agence immobilière Saint-Rémy de Provence et Maussane les Alpilles HAPPY IMMOBILIER mas villa maison de village appartement,http://www.happy-immobilier.fr/,https://www.meilleursagents.com/agence-immobiliere/agence-happy-immobilier-maussane-35112/,Logo meilleurs agents,10,65,false,true,false,false,false,false,2018-01-05,2018-07-31,false,true
79,3,Arcachon immobilier- Agence Selika,https://www.agence-selika.com/#projet-immobilier,http://www.meilleursagents.com/agence-immobiliere/agence-agence-selika-38967/,Selika sur meilleuragent.com,5,132,false,true,false,false,false,false,2018-08-25,2018-12-19,false,false
79,3,Arcachon immobilier- Agence Selika,https://www.agence-selika.com/#projet-immobilier,https://www.meilleursagents.com/agence-immobiliere/agence-agence-selika-38967/,Selika sur meilleuragent.com,5,132,false,false,false,false,false,false,2018-10-10,2018-10-10,false,false
78,49,"Annonces immobilières, gestion locative, syndic : Agence Centrale",https://www.agencecentrale.eu/,https://www.meilleursagents.com/agence-immobiliere/agence-agence-centrale-20138/,Meilleursagents.com,12,90,false,true,false,false,false,false,2018-09-21,2018-12-26,false,false
78,49,"Annonces immobilières, gestion locative, syndic : Agence Centrale",https://www.agencecentrale.eu/,http://www.meilleursagents.com/,Meilleursagents.com,10,90,false,true,false,false,false,false,2018-07-10,2018-09-29,false,true
